Convˆnio / Cod. Benefici rio ;Empresa;Agˆncia/Conta Centralizadora;;;;;;
003247120ÿ/ÿ02008715403;GLOBAL WEB MASTER LTDA EPP;3200.13-000456-0;;;;;;
;;;;;;;;
Conta Cobran‡a:;Tipo Cobran‡a / Modalidade:;Selecione:;;;;;;
Todas;RCR -RAPIDA COM REGISTRO;Liquidados;;;;;;
Data Inicial:;Data Final:;ÿÿ;;;;;;
25/07/2018;01/08/2018;;;;;;;
;;;;;;;;
Seu N£mero;Nosso N£mero;Vencimento;Data da Liquida‡Æo;Valor do T¡tulo (R$);Valor Cobrado (R$);Oscila‡Æo (R$);Pagador;Conta Cobran‡a
10126;10129;02/08/2018;02/08/2018;850;863,5;13,5;2AJ;130004560
10127;10128;02/08/2018;02/08/2018;350;350;0;ACDCHAPAS;130004560
